TUCASEID,TUACTIVITY_N,WUFNACTWT,WUHAPORD,WUHAPPY,WUINTERACT,WUMEANING,WUPAIN,WUPNORD,WUSAD,WUSADORD,WUSTRESS,WUSTRORD,WUTIRED,WUTRDORD
20210402212253,2,2780334.902503,5,3,2,4,0,1,0,2,1,3,3,4
20210402212253,9,5560669.805006,5,0,2,0,0,1,0,2,0,3,0,4
20210402212253,18,83410047.075097,5,5,1,6,0,1,0,2,0,3,2,4
20210402212256,5,39079281.348762,3,4,2,4,4,1,5,4,4,5,2,2
20210402212256,6,11940891.523233,3,4,2,4,4,1,4,4,4,5,2,2
20210402212256,13,22796247.453445,3,6,1,6,0,1,0,4,0,5,0,2
20210402212259,2,62294275.224995,4,6,2,6,5,2,3,1,1,5,5,3
20210402212259,4,37821524.243747,4,6,1,6,0,2,0,1,0,5,0,3
20210402212259,5,1483197.029167,4,6,1,6,0,2,0,1,0,5,0,3
20210402212297,5,9311960.249845,2,6,2,6,0,5,0,1,0,4,0,3
20210402212297,7,6983970.187384,2,6,2,6,0,5,0,1,0,4,0,3
20210402212297,8,3103986.749948,2,6,2,0,0,5,0,1,0,4,0,3
20210402212323,3,63076890.890610,5,4,1,4,0,3,0,2,3,4,3,1
20210402212323,6,31538445.445305,5,4,1,4,0,3,0,2,4,4,3,1
20210402212323,9,7884611.361326,5,4,2,4,0,3,0,2,3,4,3,1
20210402212344,6,2169879.712866,4,5,1,5,0,1,6,5,0,3,6,2
